2020-02-27 18:09:10 WARN  Driver:13 - test(com.bank.testing.entity.AccountTest): Not yet implemented
2020-02-27 20:03:49 INFO  Application:23 - Press 1 to login or 2 to create a new account. Press 0 to exit.
2020-02-27 20:04:40 INFO  Application:23 - Press 1 to login or 2 to create a new account. Press 0 to exit.
2020-02-27 20:04:43 INFO  Application:12 - Press 1 to login as Customer, 2 for Employee, 3 for Admin. Press 0 to return to previous menu.
2020-02-27 20:04:46 INFO  Application:33 - No accepted number entered, please try again
2020-02-27 20:04:46 INFO  Application:12 - Press 1 to login as Customer, 2 for Employee, 3 for Admin. Press 0 to return to previous menu.
2020-02-27 20:04:48 INFO  Application:12 - Press 1 to modify user info, 2 to check accounts, 3 to request new account, or 4 to create a new associated user login. Press 0 to return to previous menu.
2020-02-27 20:04:51 INFO  Application:12 - Press 1 to modify user info, 2 to check accounts, 3 to request new account, or 4 to create a new associated user login. Press 0 to return to previous menu.
2020-02-27 20:04:59 INFO  Application:12 - Press 1 to modify user info, 2 to check accounts, 3 to request new account, or 4 to create a new associated user login. Press 0 to return to previous menu.
2020-02-27 20:05:02 INFO  Application:34 - No accepted number entered, please try again
2020-02-27 20:05:02 INFO  Application:12 - Press 1 to modify user info, 2 to check accounts, 3 to request new account, or 4 to create a new associated user login. Press 0 to return to previous menu.
2020-02-27 20:05:05 INFO  Application:12 - Press 1 to login as Customer, 2 for Employee, 3 for Admin. Press 0 to return to previous menu.
2020-02-27 20:05:07 INFO  Application:23 - Press 1 to login or 2 to create a new account. Press 0 to exit.
2020-02-27 20:05:10 INFO  Application:8 - New Person Menu
2020-02-27 20:05:10 INFO  Application:23 - Press 1 to login or 2 to create a new account. Press 0 to exit.
